Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769486739,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769486740,10,,Aggregated,0.000000,0.000000,410,760,760,760,810,810,810,810,810,810,810,10,0,410.0,432.41836223751307,101.00924968719482,806.6809582524002,7621.7
1769486741,20,,Aggregated,0.000000,0.000000,340,340,660,690,760,760,810,810,810,810,810,24,0,290.0,315.9720397282702,10.614166967570782,806.6809582524002,7453.25
1769486742,30,,Aggregated,0.000000,0.000000,340,370,410,660,690,760,810,810,810,810,810,41,0,340.0,306.1738108262056,3.796500153839588,806.6809582524002,6808.512195121952
1769486743,40,,Aggregated,6.500000,0.000000,310,360,370,410,670,760,760,810,810,810,810,64,0,300.0,272.04440358036663,3.74866696074605,806.6809582524002,6646.375
1769486744,50,,Aggregated,9.333333,0.000000,300,360,380,570,660,690,760,810,810,810,810,91,0,300.0,263.66914606110737,2.845959272235632,806.6809582524002,6888.604395604396
1769486750,60,,Aggregated,11.000000,0.000000,320,360,390,560,660,710,760,760,810,810,810,112,0,310.0,270.0663109966886,2.845959272235632,806.6809582524002,6739.044642857143
1769486751,70,,Aggregated,11.200000,0.000000,290,360,410,580,690,760,910,950,1100,1100,1100,150,0,270.0,293.20987192293006,2.845959272235632,1079.355166759342,7462.906666666667
1769486752,80,,Aggregated,11.200000,0.000000,310,390,610,670,1100,1500,1800,2000,2000,2000,2000,178,0,310.0,405.3745309042671,2.845959272235632,2003.319500014186,7119.432584269663
1769486753,90,,Aggregated,13.400000,0.000000,340,520,670,760,1400,2000,2500,2700,3000,3000,3000,213,0,340.0,520.6702159621486,2.845959272235632,2984.57737499848,6658.2018779342725
1769486754,100,,Aggregated,14.200000,0.000000,340,610,760,950,1600,2300,3000,3400,3900,3900,3900,246,0,340.0,593.1671121275068,2.845959272235632,3916.821166872978,6412.085365853659
1769486755,110,,Aggregated,16.200000,0.000000,350,660,940,1300,1900,2300,3000,3400,3900,3900,3900,281,0,350.0,651.1082292328923,2.845959272235632,3916.821166872978,6417.049822064057
1769486756,120,,Aggregated,16.400000,0.000000,350,670,1100,1400,2000,2500,3100,3400,3900,3900,3900,312,0,350.0,686.3860730305672,2.845959272235632,3916.821166872978,6328.919871794872
1769486757,130,,Aggregated,17.400000,0.000000,370,710,1200,1500,2100,2600,3300,3500,3900,3900,3900,343,0,370.0,743.3956764942529,2.2060833871364594,3916.821166872978,6337.154518950438
1769487620,140,,Aggregated,17.400000,0.000000,370,710,1200,1500,2100,2600,3300,3500,3900,3900,3900,346,0,370.0,743.2961556939355,2.2060833871364594,3916.821166872978,6341.710982658959
